time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-08 00:00:00+00:00,19,10,0,0
2026-04-09 00:00:00+00:00,39,11,0,0
2026-04-10 00:00:00+00:00,3,3,0,0
2026-04-11 00:00:00+00:00,36,10,0,0
2026-04-12 00:00:00+00:00,17,9,0,0
2026-04-13 00:00:00+00:00,24,7,0,0
2026-04-14 00:00:00+00:00,12,3,0,0
2026-04-15 00:00:00+00:00,8,3,0,0
2026-04-16 00:00:00+00:00,31,8,0,0
2026-04-17 00:00:00+00:00,21,7,0,0
2026-04-18 00:00:00+00:00,19,10,0,0
2026-04-19 00:00:00+00:00,37,11,0,0
2026-04-20 00:00:00+00:00,15,5,8,1
2026-04-21 00:00:00+00:00,19,5,0,0
